Update: 0, Reward_mean: -0.473594276032, Loss: [0.3126225471496582]
Update: 1, Reward_mean: -0.213199635453, Loss: [0.38627791404724121]
Update: 2, Reward_mean: 0.817957863763, Loss: [-0.040429621934890747]
Update: 3, Reward_mean: -0.624525956866, Loss: [1.1408774852752686]
Update: 4, Reward_mean: 4.67289459399, Loss: [1.3434257507324219]
Update: 5, Reward_mean: -1.56145986505, Loss: [1.0990338325500488]
Update: 6, Reward_mean: 1.16896732218, Loss: [0.37735748291015625]
Update: 7, Reward_mean: 0.0504246250009, Loss: [0.2383294403553009]
Update: 8, Reward_mean: 0.0882333297666, Loss: [0.0946778804063797]
Update: 9, Reward_mean: -0.220213175892, Loss: [0.18542863428592682]
Update: 10, Reward_mean: -0.082152749958, Loss: [0.036653555929660797]
Update: 11, Reward_mean: -0.110161138785, Loss: [0.018158797174692154]
Update: 12, Reward_mean: 0.120543178903, Loss: [0.15657976269721985]
Update: 13, Reward_mean: -0.0561521772179, Loss: [0.089468717575073242]
Update: 14, Reward_mean: -0.0165467579914, Loss: [0.20638081431388855]
Update: 15, Reward_mean: -0.242650109738, Loss: [0.019825756549835205]
Update: 16, Reward_mean: 0.00827053190266, Loss: [0.10765750706195831]
Update: 17, Reward_mean: -0.0150545840286, Loss: [0.046926375478506088]
Update: 18, Reward_mean: 0.0950152756037, Loss: [0.13801565766334534]
Update: 19, Reward_mean: -0.00619481454596, Loss: [0.11918945610523224]
Update: 20, Reward_mean: 0.114244518399, Loss: [0.13361519575119019]
Update: 21, Reward_mean: 0.218283174066, Loss: [0.10713288187980652]
Update: 22, Reward_mean: 0.159153343517, Loss: [0.074654154479503632]
Update: 23, Reward_mean: 0.332656272008, Loss: [0.19168071448802948]
Update: 24, Reward_mean: 0.0459879311078, Loss: [0.032618436962366104]
Update: 25, Reward_mean: 0.00737602929721, Loss: [0.085133127868175507]
Update: 26, Reward_mean: 0.100691509437, Loss: [0.017356052994728088]
Update: 27, Reward_mean: 0.213741788039, Loss: [0.067307420074939728]
Update: 28, Reward_mean: 0.507353590015, Loss: [0.17896248400211334]
Update: 29, Reward_mean: 0.155305454253, Loss: [0.051109630614519119]
Update: 30, Reward_mean: 0.405501378791, Loss: [0.19482800364494324]
Update: 31, Reward_mean: 0.233037068493, Loss: [0.11368907988071442]
Update: 32, Reward_mean: 0.0460085391893, Loss: [0.071206793189048767]
Update: 33, Reward_mean: 0.345086277143, Loss: [0.11369775980710983]
Update: 34, Reward_mean: 0.302276535245, Loss: [0.072462834417819977]
Update: 35, Reward_mean: 0.28211891429, Loss: [-0.030975408852100372]
Update: 36, Reward_mean: 0.349930065078, Loss: [0.12125310301780701]
Update: 37, Reward_mean: 0.226544324001, Loss: [0.09502921998500824]
Update: 38, Reward_mean: 0.362695880886, Loss: [0.078163452446460724]
Update: 39, Reward_mean: 0.2435311284, Loss: [0.080443888902664185]
Update: 40, Reward_mean: 0.207216068775, Loss: [0.15868440270423889]
Update: 41, Reward_mean: 0.27213002054, Loss: [0.04959387332201004]
Update: 42, Reward_mean: 0.304630325451, Loss: [0.11302900314331055]
Update: 43, Reward_mean: 0.227117147901, Loss: [0.044006191194057465]
Update: 44, Reward_mean: 0.401423507649, Loss: [0.10828229784965515]
Update: 45, Reward_mean: 0.532529187729, Loss: [0.031651336699724197]
Update: 46, Reward_mean: 0.395434783527, Loss: [0.0049322713166475296]
Update: 47, Reward_mean: 0.429802349273, Loss: [0.12649659812450409]
Update: 48, Reward_mean: 0.251070468069, Loss: [0.11577120423316956]
Update: 49, Reward_mean: 0.415531912022, Loss: [0.20653006434440613]
Update: 50, Reward_mean: 0.561306532811, Loss: [0.10052211582660675]
Update: 51, Reward_mean: 0.367447698372, Loss: [0.029299044981598854]
Update: 52, Reward_mean: 0.67418774071, Loss: [0.094710461795330048]
